id_solicitud,fecha_solicitud,sucursal,tipo_credito,monto_solicitado,plazo_meses,ingresos_mensuales,antiguedad_laboral,nivel_educativo,estado_civil,numero_dependientes,tiene_otros_creditos,resultado
SOL-02697,2024-11-19,BOGOTA,Libre inversion,15900000,36,2900000,2,Posgrado,Casado,2,Si,Aprobado
SOL-02781,2025-05-13,Bogota,Educacion,6900000,36,2440000,1,Tecnico,divorciado,0,1,Aprobado
SOL-00588,2024-08-23,Barranquilla,Libre inversion,19400000,24,4030000,0,Profesional,Union libre,1,No,Rechazado
SOL-02398,2024-02-27,Bogotá D.C.,Educacion,3900000,12,3890000,7,Profesional,Soltero,2,No,APROBADO
SOL-02042,07/08/2024,Pereira,Vehiculo,52000000,24,5270000,3,Profesional,Union libre,1,No,EN ESTUDIO
SOL-00181,14/06/2024,Bucaramanga,Libre inversion,11700000,48,1920000,3,Prof.,Soltero,2,No,rechazado
SOL-02833,2024-01-10,Cartagena,Educacion,9100000,24,2460000,14,Tecnico,union libre,0,Si,Aprobado
SOL-01620,26/06/2025,Bogotá D.C.,Vivienda,127200000,180,$ 4560000,2,Tecnico,Casado,3,Si,Aprobado
SOL-01458,30/11/2024,Bogota,Educacion,16400000,12,8.200.000,4,Tecnico,Casado,0,Sí,Rechazado
SOL-02481,29/09/2024,CALI,Vehiculo,36700000,24,1800000,9,bachiller,Divorciado,2,NO,En estudio
SOL-00960,2025-04-04,Bogota,Educacion,4200000,36,3290000,2,Tecnico,Soltero,2,Si,Aprobado
SOL-00670,24/01/2025,Bogota,Vehiculo,51500000,24,5300000,0,PROFESIONAL,SOLTERO,3,SI,Rechazado
SOL-00225,2024-11-03,Bogotá,Libre inversion,14800000,12,2860000,3,Profesional,Casado,1,No,aprobado
SOL-02808,2024-02-15,Bogotá D.C.,Vivienda,203600000,120,1800000,4,TECNICO,Union libre,2,No,en estudio
SOL-02335,2025-04-27,Barranquilla,Libre inversion,17900000,36,5210000,1,Bachiller,union libre,0,0,Aprobado
SOL-02486,30/04/2025,bogota,Vivienda,134400000,180,6330000,1,Profesional,Soltero,0,No,Rechazado
SOL-01206,2024-10-04,Medellin,Vehiculo,42600000,60,1.800.000,1,Tecnico,Divorciado,1,No,Aprobado
SOL-00569,2024-03-18,Bogota,Vehiculo,24900000,36,3080000,1,Bachiller,Soltero,0,No,En estudio
SOL-00363,2024-04-08,medellin,Vivienda,129200000,60,$2.260.000,1,Bach.,Soltero,1,Si,RECHAZADO
SOL-02295,2024-07-22,Cali,Libre inversion,20800000,36,1800000,22,Bachiller,Soltero,N/A,No,rechazado
SOL-01529,31/10/2024,pereira,Libre inversion,19500000,48,$9.190.000,5,Posgrado,Unión libre,0,No,En estudio
SOL-00378,2024-12-28,cartagena,Vehiculo,38800000,24,11.050.000,5,Tecnico,Soltero,2,no,Aprobado
SOL-01369,2024-10-06,Bogota,Educacion,14400000,24,1800000,1,Bachiller,Soltero,,No,Aprobado
SOL-00848,15/03/2025,Bogota,Vehiculo,42100000,36,6110000,7,Bach.,DIVORCIADO,0,No,En estudio
SOL-01574,2025-03-27,Bogota,Vehiculo,44900000,60,$ 4610000,4,PROFESIONAL,DIVORCIADO,1,No,EN ESTUDIO
SOL-01364,27/09/2024,barranquilla,Vehiculo,29600000,36,2010000,1,Profesional,Union libre,2,No,Rechazado
SOL-01337,18/11/2024,Cali,Libre inversion,11000000,12,9790000,2,Profesional,UNION LIBRE,0,1,Aprobado
SOL-01707,15/04/2025,Bogota,Educacion,17300000,12,$ 3930000,5,Tecnico,Casado,0,No,Aprobado
SOL-01531,2024-11-25,Bucaramanga,Libre inversion,8500000,48,2980000,2,Bachiller,union libre,2,Si,Aprobado
SOL-01476,2025-01-03,Barranquilla,Vivienda,144500000,240,2390000,0,Posgrado,SOLTERO,0,Si,aprobado
SOL-01969,2024-01-07,Bogota,Libre inversion,8400000,24,3860000,1,profesional,union libre,2,0,En estudio
SOL-01203,2024-04-02,BOGOTA,Libre inversion,18500000,12,5820000,5,Profesional,Soltero,0,No,rechazado
SOL-00638,23/02/2024,Bogotá,Libre inversion,21700000,48,5220000,1,Tecnico,Casado,3,no,Aprobado
SOL-00808,2024-01-19,Bogotá D.C.,Libre inversion,17900000,36,3420000,5,Bachiller,Casado,1,Si,Aprobado
SOL-02985,27/09/2024,Medellin,Vehiculo,58300000,60,3810000,2,Técnico,Soltero,1,1,Rechazado
SOL-00837,2025-06-09,Cali,Vehiculo,34500000,48,2510000,1,Tecnico,soltero,2,Si,Aprobado
SOL-01521,09/03/2024,Medellin,Vehiculo,45700000,48,1800000,1,Prof.,Union libre,1,No,Rechazado
SOL-01135,2025-04-20,Bogota,Libre inversion,11200000,12,3200000,7,profesional,Casado,N/A,No,Aprobado
SOL-02732,2025-05-29,Bogota,Educacion,9700000,12,4720000,1,Tecnico,casado,2,SI,APROBADO
SOL-00276,05/04/2025,Bogotá D.C.,Libre inversion,17100000,24,$1.800.000,3,Tecnico,Casado,1,No,Rechazado
SOL-02971,2024-12-16,Bogotá,Vivienda,183700000,60,7480000,3,Profesional,Soltero,1,Si,Rechazado
SOL-00593,03/02/2024,Bucaramanga,Libre inversion,19300000,48,1800000,5,Postgrado,Casado,3,No,en estudio
SOL-00122,11/10/2024,Pereira,Vehiculo,48500000,36,1800000,1,Profesional,Divorciado,4,No,Rechazado
SOL-02490,15/05/2025,Medellin,Educacion,5600000,24,$ 3190000,1,Tecnico,Casado,0,No,Aprobado
SOL-02533,02/06/2025,CALI,Vehiculo,51000000,24,5380000,0,Posgrado,Casado,0,0,Aprobado
SOL-02681,02/08/2024,Bogota,Vivienda,114800000,120,3870000,8,Tecnico,Soltero,1,Si,Aprobado
SOL-00486,27/06/2025,Medellin,Vivienda,152100000,120,2160000,5,Bachiller,Union libre,0,No,Aprobado
SOL-01184,2024-11-20,Cartagena,Vehiculo,56100000,48,6530000,12,Tecnico,Unión libre,1,1,Aprobado
SOL-02855,15/04/2025,Cartagena,Educacion,13300000,36,4960000,7,Tecnico,SOLTERO,1,No,Aprobado
SOL-00770,2024-08-25,Barranquilla,Educacion,10100000,36,$ 13630000,4,Posgrado,Casado,1,0,Aprobado
SOL-01948,2024-01-11,BARRANQUILLA,Libre inversion,22300000,36,1800000,6,Bachiller,Soltero,0,Sí,Aprobado
SOL-01392,2025-04-04,Medellin,Educacion,14200000,12,3270000,5,Técnico,Casado,2,NO,En estudio
SOL-01722,2024-12-13,Medellin,Libre inversion,20100000,12,$4.310.000,22,Bachiller,SOLTERO,,Si,Rechazado
SOL-02218,2024-11-21,Cali,Libre inversion,16400000,48,1800000,1,Posgrado,casado,2,1,aprobado
SOL-00998,28/02/2024,Pereira,Vehiculo,20600000,60,$ 2260000,5,Posgrado,Soltero,1,Si,Aprobado
SOL-01041,2024-08-28,Bucaramanga,Vehiculo,48400000,60,5320000,3,Posgrado,Casado,1,1,Aprobado
SOL-02301,2025-03-07,Bucaramanga,Vehiculo,42200000,24,5460000,14,Tecnico,SOLTERO,0,No,Aprobado
SOL-01388,2024-08-21,PEREIRA,Vivienda,110600000,120,3370000,2,Posgrado,Casado,1,si,Rechazado
SOL-00413,18/10/2024,Barranquilla,Libre inversion,10500000,36,1800000,2,tecnico,soltero,2,1,En estudio
SOL-00524,2024-10-03,Bogota,Libre inversion,11200000,24,5270000,2,BACHILLER,Casado,3,Si,Aprobado
SOL-01194,27/02/2025,cartagena,Educacion,8300000,36,1860000,1,Profesional,Casado,0,No,Aprobado
SOL-02529,2024-11-12,Bogotá D.C.,Educacion,5000000,12,4060000,2,Bachiller,soltero,1,si,Aprobado
SOL-02238,02/10/2024,PEREIRA,Vehiculo,35100000,48,4640000,4,bachiller,Soltero,2,Si,Aprobado
SOL-00663,2025-03-14,Cali,Vivienda,203800000,60,2.040.000,14,Postgrado,Soltero,1,No,En estudio
SOL-00096,2024-04-13,BARRANQUILLA,Libre inversion,15400000,24,2180000,2,,Soltero,1,Si,aprobado
SOL-02475,30/03/2024,Medellin,Libre inversion,9500000,12,2530000,5,Tecnico,Casado,2,No,Aprobado
SOL-01399,21/05/2025,Bogota,Educacion,12900000,12,3480000,3,bachiller,Soltero,1,0,aprobado
SOL-02811,2024-11-21,Medellin,Vehiculo,42300000,24,3170000,10,Profesional,Union libre,2,Si,Rechazado
SOL-00469,19/12/2024,Bogota,Vehiculo,52100000,36,4600000,3,Tec.,Casado,2,Si,aprobado
SOL-02053,2024-06-17,Barranquilla,Vivienda,94500000,120,5140000,1,Posgrado,Soltero,0,Si,en estudio
SOL-00359,2025-05-17,medellin,Vehiculo,23100000,48,3970000,12,Profesional,Union libre,1,Si,aprobado
SOL-02332,28/05/2025,BARRANQUILLA,Libre inversion,10400000,24,7110000,2,Bachiller,Casado,3,No,Rechazado
SOL-01402,2024-07-28,Bogota,Vivienda,229400000,60,4920000,3,Posgrado,Casado,0,No,Rechazado
SOL-02507,2024-09-20,Medellin,Libre inversion,20000000,36,4080000,6,tecnico,CASADO,0,No,Rechazado
SOL-00126,2024-09-30,Cali,Libre inversion,14600000,48,1800000,1,profesional,Union libre,1,No,RECHAZADO
SOL-01912,2024-02-18,Medellin,Vehiculo,45600000,24,4470000,0,Postgrado,Union libre,,Si,Aprobado
SOL-02160,2024-03-21,Cartagena,Educacion,16400000,36,3600000,1,Profesional,Divorciado,1,No,Aprobado
SOL-01410,12/06/2024,Medellin,Vehiculo,51800000,48,3540000,2,Profesional,Union libre,1,NO,Aprobado
SOL-01581,2024-10-10,Bogota,Libre inversion,17900000,36,2080000,0,Profesional,Union libre,3,Si,Aprobado
SOL-02231,29/05/2025,Medellin,Libre inversion,10600000,36,4.220.000,1,Tecnico,SOLTERO,0,No,Rechazado
SOL-01560,2025-06-13,Pereira,Libre inversion,8800000,12,3620000,8,Tecnico,Soltero,0,No,En estudio
SOL-01963,2024-02-19,MEDELLIN,Libre inversion,15900000,48,$3.340.000,4,Profesional,Union libre,1,Si,Aprobado
SOL-00315,25/05/2024,MEDELLIN,Vivienda,209300000,240,$ 6300000,2,Profesional,Soltero,1,No,Aprobado
SOL-02521,26/10/2024,CALI,Libre inversion,12900000,36,1800000,13,Profesional,Soltero,3,No,Rechazado
SOL-01980,15/12/2024,Medellín,Libre inversion,15200000,36,$7.190.000,5,Profesional,Divorciado,1,Si,APROBADO
SOL-00972,2025-06-07,BARRANQUILLA,Libre inversion,24200000,12,3540000,2,Tecnico,Soltero,2,Si,Aprobado
SOL-00070,2024-07-07,Bogota,Libre inversion,14500000,24,6750000,7,Profesional,Soltero,1,no,En estudio
SOL-02800,18/03/2025,Bucaramanga,Libre inversion,14500000,12,7450000,2,Profesional,Soltero,0,Si,Rechazado
SOL-00514,2024-07-13,bogota,Libre inversion,24300000,24,1920000,1,Profesional,UNION LIBRE,2,No,En estudio
SOL-02957,2024-06-23,Barranquilla,Vehiculo,54300000,24,5.260.000,5,Profesional,Soltero,2,NO,En estudio
SOL-02057,2024-12-20,BOGOTA,Libre inversion,21700000,12,$2.710.000,2,Profesional,Casado,2,No,Rechazado
SOL-01446,2025-05-30,MEDELLIN,Vehiculo,25900000,36,1800000,2,Profesional,Union libre,1,Si,APROBADO
SOL-02815,07/01/2024,Cali,Vehiculo,53500000,60,2450000,N/A,POSGRADO,soltero,3,1,Aprobado
SOL-00427,2025-01-17,Cali,Vehiculo,34700000,48,$4.630.000,1,Posgrado,Union libre,0,SI,Rechazado
SOL-01197,2024-05-26,cali,Vehiculo,50200000,60,8.220.000,8,Tecnico,Union libre,3,No,rechazado
SOL-00457,24/03/2024,Medellín,Educacion,10500000,36,2580000,2,Prof.,Divorciado,3,No,APROBADO
SOL-01937,19/01/2025,Bogotá D.C.,Vehiculo,31400000,48,2440000,0,Posgrado,Unión libre,1,0,Rechazado
SOL-00740,26/04/2024,Cartagena,Vivienda,202100000,120,3390000,2,Tecnico,Soltero,0,No,Aprobado
SOL-00207,2024-03-14,CALI,Libre inversion,17800000,12,5430000,6,Posgrado,Soltero,1,1,Rechazado
SOL-02583,2024-10-02,bucaramanga,Libre inversion,16400000,24,3880000,2,Bach.,Soltero,1,Si,En estudio
SOL-01087,22/08/2024,Bogota,Vehiculo,47400000,60,3050000,11,Bachiller,Casado,3,No,Aprobado
SOL-00846,2024-12-01,Medellin,Libre inversion,23400000,24,4360000,2,posgrado,Casado,4,No,rechazado
SOL-00986,2025-02-18,Bogota,Libre inversion,11100000,12,1800000,4,Posgrado,union libre,,0,Aprobado
SOL-02191,08/09/2024,Bucaramanga,Libre inversion,14700000,12,5120000,6,Posgrado,casado,3,1,En estudio
SOL-01771,2025-04-30,Cali,Educacion,15300000,36,4000000,4,Bachiller,Divorciado,0,Si,Aprobado
SOL-02189,2025-02-28,CALI,Educacion,4900000,12,5790000,4,Bachiller,Casado,3,No,Aprobado
SOL-00376,13/02/2024,BOGOTA,Libre inversion,14800000,36,3370000,4,BACHILLER,Union libre,1,No,aprobado
SOL-00841,2024-09-19,BOGOTA,Educacion,11100000,12,4580000,9,profesional,Soltero,2,No,En estudio
SOL-01430,2024-01-18,Bogota,Vivienda,201800000,120,2190000,2,Prof.,Casado,1,No,Aprobado
SOL-00326,11/05/2024,Cali,Libre inversion,14400000,12,3490000,1,Bachiller,casado,1,No,En estudio
SOL-01915,2025-03-02,Pereira,Vehiculo,37500000,60,1800000,18,profesional,CASADO,1,no,En estudio
SOL-00417,2025-04-16,Bogota,Libre inversion,23200000,24,1800000, ,Tecnico,Union libre,0,SI,Aprobado
SOL-02526,29/05/2024,Bogota,Libre inversion,11600000,48,3.560.000,5,Posgrado,Casado,2,No,Rechazado
SOL-02016,26/03/2024,MEDELLIN,Vehiculo,41200000,24,$3.940.000,1,Bachiller,Casado,2,No,aprobado
SOL-01764,2025-01-07,cali,Vehiculo,59500000,48,1800000,1,Bachiller,casado,N/A,No,Aprobado
SOL-00706,2024-02-12,medellin,Libre inversion,11900000,48,4420000,6,Prof.,Union libre,,No,Aprobado
SOL-02919,2024-05-27,Bogota,Libre inversion,12500000,12,4080000,9,Tec.,soltero,3,No,Aprobado
SOL-02445,13/04/2025,BUCARAMANGA,Libre inversion,12000000,24,1800000,0,Tecnico,Union libre,1,No,APROBADO
SOL-02785,2024-01-23,Bogotá,Vehiculo,45100000,36,4030000,7,Tec.,Casado,2,No,Aprobado
SOL-01083,29/06/2024,Cali,Libre inversion,17400000,48,$ 4490000,1,Técnico,Casado,2,No,Aprobado
SOL-01468,01/01/2024,Cartagena,Vehiculo,55400000,36,2520000,0,Profesional,Union libre,2,Si,APROBADO
SOL-02606,2025-05-19,Medellin,Educacion,15100000,24,6560000,2,Profesional,SOLTERO,1,No,APROBADO
SOL-02655,30/06/2024,medellin,Libre inversion,11300000,24,3240000,6,Tecnico,casado,N/A,Si,Aprobado
SOL-00257,2024-05-19,BUCARAMANGA,Libre inversion,24300000,24,1800000,4,Bachiller,Union libre,2,0,APROBADO
SOL-01958,2024-06-13,BOGOTA,Vivienda,235300000,120,2450000,7,Bachiller,Casado,3,Si,Aprobado
SOL-02384,2024-07-26,CARTAGENA,Libre inversion,19700000,48,7480000,2,Profesional,Soltero,0,no,APROBADO
SOL-00420,26/04/2025,MEDELLIN,Vehiculo,48400000,60,2010000,12,tecnico,Soltero,2,Si,En estudio
SOL-01850,2024-11-21,Bogota,Vehiculo,36000000,48,$ 1800000,2,Profesional,soltero,0,No,Rechazado
SOL-02797,17/04/2025,Bucaramanga,Libre inversion,13700000,48,7290000,4,Profesional,CASADO,3,Si,RECHAZADO
SOL-02146,2024-04-13,cartagena,Libre inversion,8000000,24,5850000,3,Técnico,soltero,3,No,Aprobado
SOL-02004,2024-02-22,barranquilla,Libre inversion,10600000,24,9870000,1,Tecnico,SOLTERO,0,No,aprobado
SOL-00362,2025-01-27,CALI,Vivienda,136700000,240,3180000,2,PROFESIONAL,Casado,2,Si,en estudio
SOL-01003,2025-02-10,Bogota,Libre inversion,8200000,24,1800000,1,Bachiller,Union libre,0,1,En estudio
SOL-01904,2024-03-17,Bogotá D.C.,Vehiculo,44800000,36,3150000,2,Posgrado,Divorciado,0,Si,Rechazado
SOL-01959,18/03/2024,CALI,Libre inversion,13800000,36,4.380.000,1,Tec.,Soltero,3,Si,Aprobado
SOL-01721,31/03/2024,cali,Libre inversion,23300000,24,2.780.000,2,Bachiller,Soltero,0,No,Aprobado
SOL-00613,2024-01-23,bucaramanga,Libre inversion,10500000,48,1800000,16,Profesional,Union libre,0,No,Aprobado
SOL-01258,2025-06-11,Bogota,Libre inversion,13100000,48,$ 3240000,14,Posgrado,divorciado,4,Si,Aprobado
SOL-02107,2024-06-06,CALI,Libre inversion,11800000,12,3.230.000,7,Profesional,Unión libre,0,No,Rechazado
SOL-01539,2024-04-23,BUCARAMANGA,Vehiculo,40700000,36,4970000,1,Bachiller,Casado,N/A,Si,Aprobado
SOL-01421,03/01/2025,Medellin,Educacion,4700000,12,3640000,0,posgrado,Union libre,2,Si,Aprobado
SOL-01977,2024-07-24,bucaramanga,Libre inversion,8800000,12,2540000,0,Bachiller,Soltero,1,No,rechazado
SOL-01124,13/07/2024,Medellín,Educacion,12400000,12,5500000,2,profesional,Union libre,,No,Rechazado
SOL-02097,2025-04-06,medellin,Vehiculo,29500000,48,2320000,17,Profesional,Divorciado,0,No,En estudio
SOL-02308,2025-06-20,Medellin,Vehiculo,28500000,36,3.170.000,0,Tecnico,Soltero,2,No,EN ESTUDIO
SOL-00387,2025-02-10,CALI,Libre inversion,24400000,36,2200000,4,tecnico,Soltero,2,Si,Rechazado
SOL-02060,2025-01-18,Bucaramanga,Libre inversion,24700000,24,$3.000.000,4,Profesional,Divorciado,2,No,Aprobado
SOL-02072,2025-03-17,pereira,Vivienda,149200000,120,8080000,6,Profesional,Union libre,4,no,Aprobado
SOL-02056,2024-01-16,Bucaramanga,Libre inversion,16200000,24,4780000,12,Bachiller,Union libre,0,No,rechazado
SOL-00878,13/08/2024,Bucaramanga,Vivienda,168900000,60,2140000,5,Posgrado,Divorciado,3,No,Aprobado
SOL-00708,2024-08-13,Medellin,Libre inversion,16000000,24,2.900.000,7,Tecnico,Union libre,2,No,En estudio
SOL-01052,2025-01-04,Cali,Educacion,10200000,36,6360000,35,Prof.,Union libre,0,No,aprobado
SOL-00667,2024-10-29,Bogota,Vehiculo,24900000,48,2360000,1,PROFESIONAL,Casado,0,No,Aprobado
SOL-01123,22/11/2024,MEDELLIN,Libre inversion,16000000,12,4320000,2,Bachiller,Union libre,4,Si,EN ESTUDIO
SOL-00639,10/03/2024,CALI,Vivienda,135000000,240,5000000,1,Tecnico,Casado,0,No,Aprobado
SOL-00774,2024-05-16,BOGOTA,Libre inversion,24500000,36,3800000,4,Profesional,Casado,4,No,Aprobado
SOL-01767,21/04/2024,pereira,Vehiculo,59600000,48,3920000,9,PROFESIONAL,Casado,1,No,Aprobado
SOL-02952,10/09/2024,Bogotá D.C.,Libre inversion,17600000,48,7220000,1,Tecnico,Casado,2,No,Aprobado
SOL-02748,08/12/2024,Cali,Vivienda,189300000,120,2010000,0,Prof.,UNION LIBRE,4,NO,Aprobado
SOL-02888,2025-05-07,Bogota,Vehiculo,46100000,24,4340000,3,bachiller,Soltero,3,No,Aprobado
SOL-02659,2024-02-16,Medellin,Libre inversion,19800000,48,$ 2640000,19,Tecnico,Divorciado,0,NO,Rechazado
SOL-02514,2024-10-08,Barranquilla,Libre inversion,21200000,48,3700000,7,Profesional,Union libre,3,Si,Aprobado
SOL-01814,2024-02-14,Medellin,Vivienda,222100000,240,$ 1800000,4,bachiller,Soltero,3,0,Aprobado
SOL-00111,19/01/2024,PEREIRA,Vivienda,190100000,60,2450000,1,TECNICO,CASADO,1,Si,Aprobado
SOL-00071,2024-09-10,Bucaramanga,Vehiculo,53300000,36,$2.210.000,0,Prof.,Soltero,2,No,Aprobado
SOL-02744,17/02/2025,Pereira,Vivienda,119100000,180,2350000,1,Tecnico,Casado,1,Sí,RECHAZADO
SOL-01947,2024-10-04,Bogotá,Libre inversion,23900000,48,8880000,3,Profesional,Divorciado,1,NO,En estudio
SOL-00260,2024-11-01,Medellín,Vehiculo,38900000,24,4220000,0,Tecnico,soltero,2,No,En estudio
SOL-01263,2024-03-02,Barranquilla,Libre inversion,24000000,36,$5.350.000,7,tecnico,Casado,2,Si,Aprobado
SOL-02762,2024-08-13,BARRANQUILLA,Vehiculo,32100000,60,$ 3950000,0,Tecnico,Soltero,2,No,Aprobado
SOL-01888,2024-01-09,Medellin,Libre inversion,14900000,12,$1.800.000,3,Bachiller,Soltero,2,No,Aprobado
SOL-01823,02/01/2025,Medellin,Vivienda,135300000,240,3550000,15,bachiller,Soltero,2,No,Aprobado
SOL-00035,2024-09-08,Cali,Libre inversion,9800000,48,2660000,8,Posgrado,Soltero,0,No,Aprobado
SOL-00922,05/04/2025,bogota,Educacion,10000000,12,4670000,0,Bachiller,Divorciado,0,Si,En estudio
SOL-01903,2024-11-03,Cali,Libre inversion,19900000,36,,1,Profesional,Casado,1,No,Rechazado
SOL-02890,26/12/2024,Bogotá D.C.,Libre inversion,10400000,48,2510000,1,bachiller,CASADO,,No,APROBADO
SOL-01354,18/07/2024,Bogota,Libre inversion,21300000,36,10450000,19,posgrado,UNION LIBRE,3,No,Rechazado
SOL-02281,2024-10-25,Pereira,Libre inversion,9000000,24,2140000,0,Posgrado,Soltero,2,Si,Aprobado
SOL-02756,2025-02-02,Bucaramanga,Vehiculo,40100000,36,1800000,12,Tecnico,Union libre,1,0,En estudio
SOL-01865,2024-06-09,Cali,Vivienda,91200000,120,1800000,2,bachiller,Union libre,0,No,RECHAZADO
SOL-00730,30/05/2025,Bogota,Libre inversion,12600000,12,2250000,1,Tecnico,Casado,1,Si,Aprobado
SOL-00031,2024-12-18,MEDELLIN,Vivienda,90100000,60,1800000,0,Profesional,Divorciado,0,Si,Aprobado
SOL-00743,2024-06-23,Medellin,Vivienda,156300000,120,3830000,1,Técnico,Union libre,1,No,Aprobado
SOL-00319,2024-12-30,Medellin,Libre inversion,12100000,24,7900000,2,Posgrado,Soltero,1,No,Aprobado
SOL-01828,2024-07-31,Bogota,Vehiculo,37600000,48,4140000,3,Bachiller,Soltero,2,Sí,rechazado
SOL-00119,22/01/2024,Cartagena,Libre inversion,11600000,24,3560000,4,profesional,Casado,1,Si,Aprobado
SOL-02468,2025-02-27,Bogota,Libre inversion,15300000,24,4110000,2,Bachiller,Casado,1,SI,Aprobado
SOL-00695,07/11/2024,MEDELLIN,Educacion,17200000,24,1800000,6,Tecnico,Divorciado,1,No,Aprobado
SOL-01488,18/02/2024,Bogotá D.C.,Libre inversion,20000000,48,1800000,0,Posgrado,soltero,0,Si,APROBADO
SOL-00803,2024-12-14,Cali,Vehiculo,47400000,60,3540000,12,Postgrado,Union libre,0,SI,Aprobado
SOL-01698,2025-03-31,Bogotá,Libre inversion,10300000,48,2150000,7,Bachiller,Soltero,N/A,no,Aprobado
SOL-01011,2025-02-23,Bogotá,Vehiculo,27900000,60,5270000,4,Bachiller,Divorciado,2,NO,Aprobado
SOL-01268,28/11/2024,Bogota,Educacion,5100000,24,5100000,3,Profesional,Casado,0,No,aprobado
SOL-00297,2024-12-04,cartagena,Vehiculo,21000000,36,2240000,1,Profesional,Divorciado,3,Si,Aprobado
SOL-00281,26/11/2024,bogota,Educacion,4900000,12,$ 5470000,2,Tecnico,Casado,0,NO,en estudio
SOL-02621,12/04/2024,Pereira,Vivienda,227100000,60,1800000,4,Prof.,soltero,2,No,Aprobado
SOL-01544,2025-02-11,cartagena,Vivienda,213100000,180,1800000,0,Tecnico,Soltero,3,Si,EN ESTUDIO
SOL-02305,2024-04-06,BARRANQUILLA,Vivienda,109600000,240,1800000,6,Profesional,UNION LIBRE,0,No,En estudio
SOL-00430,12/01/2024,Medellin,Educacion,9200000,12,2930000,5,Bach.,Soltero,0,Si,Aprobado
SOL-01687,16/02/2025,Cartagena,Vehiculo,20600000,36,4140000,0,Técnico,Casado,1,si,aprobado
SOL-02698,2024-05-09,BUCARAMANGA,Educacion,3600000,36,3640000,3,Posgrado,Union libre,0,no,Aprobado
SOL-02883,08/09/2024,Bogotá D.C.,Vivienda,212100000,240,3390000,3,Tecnico,Casado,1,No,Aprobado
SOL-02373,07/03/2025,Bogota,Libre inversion,22400000,48,1800000,0,Tecnico,Casado,1,Si,En estudio
SOL-02140,2024-11-20,Bucaramanga,Vehiculo,36000000,60,3320000,1,Bach.,Divorciado,0,0,RECHAZADO
SOL-00080,2024-06-23,Bogota,Libre inversion,17500000,24,2670000,4,Prof.,Casado,2,si,Aprobado
SOL-02440,2024-06-17,bogota,Vivienda,110500000,240,1900000,2,Posgrado,casado,1,No,Aprobado
SOL-01538,2024-01-28,Bogota,Educacion,4500000,24,5.630.000,7,Profesional,Union libre,4,No,En estudio
SOL-00677,2025-04-07,Barranquilla,Vivienda,144900000,180,1.800.000,14,Bachiller,CASADO,0,no,EN ESTUDIO
SOL-01105,18/01/2024,Barranquilla,Libre inversion,9800000,24,$4.300.000,2,Bachiller,Union libre,1,Sí,Aprobado
SOL-02874,2024-09-24,cali,Libre inversion,22800000,36,$2.740.000,4,Tecnico,DIVORCIADO,0,No,Rechazado
SOL-01612,25/08/2024,CALI,Libre inversion,19100000,24,5200000, ,Bachiller,Union libre,1,Si,Aprobado
